,Date,surface_heat_released,joules_released
,,,
0,2006-05-31,106108.0,443955.87200000003
1,2006-07-10,135108.0,565291.872
2,2006-07-11,221361.8,926177.7712000001
3,2006-07-12,221947.14285714284,928626.8457142857
4,2006-07-13,145533.0,608910.072
5,2006-07-19,278798.0,1166490.832
6,2006-07-25,260253.99999999997,1088902.736
7,2006-07-26,170970.0,715338.48
8,2006-07-30,336027.0,1405936.968
9,2006-07-31,339748.0,1421505.6320000002
10,2006-08-02,252328.0,1055740.352
11,2006-10-10,330819.0,1384146.696
12,2007-05-07,50972.66666666667,213269.63733333335
13,2007-05-11,83953.83333333334,351262.8386666667
14,2007-05-21,102509.33333333334,428899.0506666667
15,2007-05-22,169499.55555555556,709186.1404444445
16,2007-05-23,185668.1666666667,776835.6093333334
17,2007-05-24,148196.83333333337,620055.5506666668
18,2007-05-30,203555.55555555556,851676.4444444445
19,2007-07-30,350467.77777777775,1466357.1822222224
20,2007-07-31,341954.1111111111,1430736.000888889
21,2007-08-06,405050.50925925927,1694731.330740741
22,2007-08-09,390097.77777777775,1632169.1022222221
23,2007-10-01,171360.0,716970.24
24,2007-10-03,184615.1111111111,772429.6248888888
25,2007-10-04,348800.27777777775,1459380.3622222221
26,2007-10-18,239160.31746031743,1000646.7682539681
27,2007-10-19,332664.7962962963,1391869.5077037038
28,2007-10-26,170732.22222222222,714343.6177777778
29,2008-04-14,-10193.333333333334,-42648.90666666667
30,2008-04-27,38744.44444444444,162106.75555555554
31,2008-05-02,40235.55555555556,168345.5644444445
32,2008-05-03,42057.5,175968.58
33,2008-05-05,34185.55555555555,143032.36444444442
34,2008-05-06,58625.55555555558,245289.32444444453
35,2008-05-07,84266.11111111112,352569.4088888889
36,2008-05-12,77200.0,323004.80000000005
37,2008-05-13,109493.33333333331,458120.1066666666
38,2008-05-14,40748.88888888889,170493.35111111111
39,2008-05-16,103518.49206349207,433121.3707936508
40,2008-05-19,117170.0,490239.28
41,2008-05-20,116496.11111111115,487419.7288888891
42,2008-05-22,97945.55555555555,409804.2044444444
43,2008-05-23,131147.77777777778,548722.3022222223
44,2008-05-28,98902.53968253969,413808.2260317461
45,2008-05-30,124440.0,520656.96
46,2008-06-03,98689.99999999999,412918.95999999996
47,2008-06-04,196098.33333333334,820475.4266666668
48,2008-06-17,187575.55555555556,784816.1244444445
49,2008-06-23,246817.77777777778,1032685.5822222222
50,2008-06-26,115107.33333333334,481609.0826666667
51,2008-07-10,238035.88888888888,995942.1591111112
52,2008-09-09,277250.8333333334,1160017.4866666668
53,2008-09-19,288731.11111111107,1208050.9688888888
54,2008-09-20,155696.26666666666,651433.1797333333
55,2008-09-22,213161.11111111112,891866.088888889
56,2008-09-23,273605.55555555556,1144765.6444444447
57,2008-09-24,291473.3333333333,1219524.4266666665
